x,y,t,p
140,130,0,1
140,130,10000,1
141,130,20000,1
141,130,30000,1
142,130,40000,1
142,130,50000,1
143,130,60000,1
143,130,70000,1
144,130,80000,1
144,130,90000,1
146,130,100000,1
146,130,110000,1
147,130,120000,1
147,130,130000,1
148,130,140000,1
148,130,150000,1
149,130,160000,1
149,130,170000,1
150,130,180000,1
150,130,190000,1
153,130,200000,1
153,130,210000,1
154,130,220000,1
154,130,230000,1
155,130,240000,1
155,130,250000,1
156,130,260000,1
156,130,270000,1
157,130,280000,1
157,130,290000,1
160,130,300000,1
160,130,310000,1
161,130,320000,1
161,130,330000,1
162,130,340000,1
162,130,350000,1
163,130,360000,1
163,130,370000,1
164,130,380000,1
164,130,390000,1
166,130,400000,1
166,130,410000,1
167,130,420000,1
167,130,430000,1
168,130,440000,1
168,130,450000,1
169,130,460000,1
169,130,470000,1
170,130,480000,1
170,130,490000,1
173,130,500000,1
173,130,510000,1
174,130,520000,1
174,130,530000,1
175,130,540000,1
175,130,550000,1
176,130,560000,1
176,130,570000,1
177,130,580000,1
177,130,590000,1
180,130,600000,1
180,130,610000,1
181,130,620000,1
181,130,630000,1
182,130,640000,1
182,130,650000,1
183,130,660000,1
183,130,670000,1
184,130,680000,1
184,130,690000,1
186,130,700000,1
186,130,710000,1
187,130,720000,1
187,130,730000,1
188,130,740000,1
188,130,750000,1
189,130,760000,1
189,130,770000,1
190,130,780000,1
190,130,790000,1
193,130,800000,1
193,130,810000,1
194,130,820000,1
194,130,830000,1
195,130,840000,1
195,130,850000,1
196,130,860000,1
196,130,870000,1
197,130,880000,1
197,130,890000,1
200,130,900000,1
200,130,910000,1
201,130,920000,1
201,130,930000,1
202,130,940000,1
202,130,950000,1
203,130,960000,1
203,130,970000,1
204,130,980000,1
204,130,990000,1
206,130,1000000,1
